,sumr_list
0,-537.8641830028178
1,-609.3918461470994
2,-510.30967600594056
3,-577.6909099746372
4,-439.56037603485
5,-881.4018930252222
6,-337.6837757369945
7,-505.7700424807374
8,-843.6179771767485
9,-644.549442160318
10,-603.6227399373973
11,-689.4078536982685
12,-679.0442700791759
13,-837.2212543444477
14,-972.645306614168
15,-742.1613596396525
16,-330.2808438345588
17,-104.05878828004272
18,-565.2230701646401
19,-695.355442840149
20,-347.48683109022045
21,-754.8608680257385
22,-709.9961027044089
23,-866.9920877027993
24,-558.0072474867285
25,-211.47862357404586
26,-772.8949938337166
27,-732.6954854987207
28,-405.8634012454263
29,-166.27405762886352
30,-671.787275967379
31,-707.3064506546185
32,-385.1094357158773
33,-801.3330552611292
34,-294.9945818006955
35,-552.2530703634467
36,-328.994881378821
37,-1070.7498103118703
38,-568.9488783997739
39,-433.1158507918033
40,-624.2211775946072
41,-363.1410947989557
42,-811.5107830891221
43,-497.073994774197
44,-843.9193144278829
45,-841.2417438375156
46,-318.2549304692708
47,-441.16398476648055
48,-527.5806560093364
49,-602.2146354671166
50,-409.51092542489647
51,-664.1971091046455
52,-741.2115908045355
53,-286.14998704828076
54,-838.85439620628
55,-169.5413999261285
56,-761.9273062560362
57,-440.4407029710241
58,-549.7440784261536
59,-536.8993206670056
60,-493.69325308308487
61,-295.92031285780644
62,-557.8140777112746
