k11,k12,k13,k21,k22,k23,gamma,lambda
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.727175235748291,0.8755846619606018,1.7122759819030762,2.1841542720794678,0.24193158745765686,0.3684421181678772,2.5281238555908203,2.746539831161499
2.726879596710205,0.876000702381134,1.7119336128234863,2.183842897415161,0.24184346199035645,0.3686768114566803,2.527939796447754,2.7462165355682373
2.7268424034118652,0.8758198618888855,1.7118710279464722,2.1839373111724854,0.24203723669052124,0.3686155378818512,2.528085231781006,2.746237277984619
2.7268784046173096,0.8757516145706177,1.7119190692901611,2.1839773654937744,0.24204932153224945,0.3685770630836487,2.5281026363372803,2.746276617050171
2.726989507675171,0.8757844567298889,1.7120071649551392,2.1840262413024902,0.2419814169406891,0.3685664236545563,2.528125524520874,2.746400833129883
2.7270660400390625,0.8758097887039185,1.7120654582977295,2.18406081199646,0.2419353723526001,0.3685600757598877,2.528144121170044,2.7464890480041504
2.727116823196411,0.8758242726325989,1.7121039628982544,2.184084415435791,0.24190682172775269,0.3685547411441803,2.5281574726104736,2.7465476989746094
2.727151393890381,0.8758318424224854,1.7121305465698242,2.1841018199920654,0.2418883591890335,0.3685501515865326,2.528167486190796,2.7465884685516357
2.7271769046783447,0.8758352398872375,1.7121508121490479,2.184115171432495,0.24187585711479187,0.36854586005210876,2.528174638748169,2.7466180324554443
2.727195978164673,0.8758360147476196,1.712166428565979,2.1841256618499756,0.24186712503433228,0.3685418963432312,2.5281803607940674,2.7466399669647217
2.7272109985351562,0.875835120677948,1.7121795415878296,2.1841342449188232,0.24186092615127563,0.3685382008552551,2.5281851291656494,2.746657133102417
2.7272233963012695,0.8758328557014465,1.7121905088424683,2.1841418743133545,0.24185647070407867,0.36853453516960144,2.528188943862915,2.746670722961426
2.727233409881592,0.8758295774459839,1.7121999263763428,2.184148073196411,0.24185334146022797,0.3685309588909149,2.5281918048858643,2.7466819286346436
2.7272419929504395,0.8758255243301392,1.7122087478637695,2.1841540336608887,0.24185122549533844,0.3685274124145508,2.5281949043273926,2.7466909885406494
