,sumr_list
0,-15.917979687888174
1,0.0
2,-18.060176253242336
3,0.0
4,-16.768688063401886
5,0.0
6,-12.082442786620922
7,0.0
8,-12.923718643792533
9,0.0
10,-0.8505651990631935
11,0.0
12,-4.74394522926048
13,0.0
14,-7.1659679801645035
15,0.0
16,-5.9393478852138175
17,0.0
18,-41.63362305086721
19,0.0
20,-13.135539473176742
21,0.0
22,-44.929273307729794
23,0.0
24,-29.91330116818811
25,0.0
26,-14.679996183530802
27,0.0
28,-6.115965812291202
29,0.0
30,-5.632935418897665
31,0.0
32,-1.5214604604284039
33,0.0
34,-16.473571304128267
35,0.0
36,-21.17058602436437
37,0.0
38,-4.212475694983335
39,0.0
40,-4.590618316774361
41,0.0
42,-2.3512664263150156
43,0.0
44,-9.315545706385967
45,0.0
46,-8.024719211532219
47,0.0
48,-11.047258057958272
49,0.0
50,-17.548980160483524
51,0.0
52,-30.047592995187767
53,0.0
54,-1.6294180632154003
55,0.0
56,-12.010445922213421
57,0.0
58,-16.35081981067574
59,0.0
60,-1.7277151899595893
61,0.0
62,-9.886289683141479
63,0.0
64,-2.8065467097045964
65,0.0
66,-4.288077039834055
67,0.0
68,-0.748402899977844
69,0.0
70,-8.00508137396526
71,0.0
72,-28.398874400396192
73,0.0
74,-0.8878892334757366
75,0.0
76,-13.976705632194092
77,0.0
78,-25.93023672076208
79,0.0
80,-41.2774487372895
81,0.0
82,-40.63633799051247
83,0.0
84,-1.4737917963437943
85,0.0
86,-7.513142412625268
87,0.0
88,-20.302956329929923
89,0.0
90,-12.102081805441458
91,0.0
92,-7.441109891321404
93,0.0
94,-8.650453464351514
95,0.0
96,-27.706560207709686
97,0.0
98,-5.071635291800172
99,0.0
100,-8.260782231571522
101,0.0
102,-20.090144742701483
103,0.0
104,-12.89462315542218
105,0.0
106,-1.6075896994809293
107,0.0
108,-4.892445836391087
109,0.0
110,-10.34346621601114
111,0.0
112,-23.73594655774799
113,0.0
114,-0.30235021651729704
115,0.0
116,-6.955153020671883
117,0.0
118,-4.439665768714758
119,0.0
120,-2.4106288559875053
121,0.0
122,-3.230460218116104
123,0.0
124,-28.699889773491865
125,0.0
126,-8.83755103937452
127,0.0
128,-15.73389176235166
129,0.0
130,-25.02206117519544
131,0.0
132,-10.0733031805086
133,0.0
134,-21.000757011180166
135,0.0
136,-7.586608669372269
137,0.0
138,-20.61285227595834
139,0.0
140,-11.550055210337613
141,0.0
142,-9.581678026451721
143,0.0
144,-4.3116610654715535
145,0.0
146,-2.481771486613337
147,0.0
148,-7.7471850937172455
149,0.0
150,-11.344475638984735
151,0.0
152,-3.1547966543586106
153,0.0
154,-3.2171630224432928
155,0.0
156,-16.982199932501814
157,0.0
158,-2.9075202788456043
159,0.0
160,-12.519786549734679
161,0.0
162,-1.5661297936874374
163,0.0
164,-24.67224456852019
165,0.0
166,-12.859762914736082
167,0.0
168,-13.769410362877794
169,0.0
170,-20.627170565330793
171,0.0
172,-7.906728611555269
173,0.0
174,-11.12329481630465
175,0.0
176,-13.632673521643108
177,0.0
178,-12.908842191575754
179,0.0
180,-2.6291791463488448
181,0.0
182,-23.98065157116286
183,0.0
184,-21.448947709383706
185,0.0
186,-16.550545939811144
187,0.0
188,-7.7566410926068174
189,0.0
190,-13.813966946637017
191,0.0
192,-2.4716705944874793
193,0.0
194,-11.71030420605649
195,0.0
196,-3.8009685716024353
197,0.0
198,-0.7089032854550595
199,0.0
200,-28.539198177507565
201,0.0
202,-14.486138405734305
203,0.0
204,-17.239867566415054
205,0.0
206,-18.91028965110508
207,0.0
208,-4.464423787149869
209,0.0
210,-6.495526015422808
211,0.0
212,-16.027298105292843
213,0.0
214,-8.401145269678198
215,0.0
216,-9.208750003676395
217,0.0
218,-25.03943620715759
219,0.0
220,-9.166648568382902
221,0.0
222,-5.110594028641553
223,0.0
224,-2.715946236424361
225,0.0
226,-7.448632644758048
227,0.0
228,-23.38067081838374
229,0.0
230,-1.1730123130835814
231,0.0
232,-19.168223740204766
233,0.0
234,-6.004248101366866
235,0.0
236,-22.959021565642452
237,0.0
238,-22.52466194597664
239,0.0
240,-9.539953857523003
241,0.0
242,-21.666979058267817
243,0.0
244,-22.43312114095194
245,0.0
246,-2.844153126560551
247,0.0
248,-0.5597210065975444
249,0.0
250,-23.900913639749007
251,0.0
252,-8.110069534323914
253,0.0
254,-43.65612900360225
255,0.0
256,-22.012979850557375
257,0.0
258,-15.254131705144511
259,0.0
260,-36.96493722041887
261,0.0
262,-23.461497422456695
263,0.0
264,-4.276710762809615
265,0.0
266,-4.365364075973437
267,0.0
268,-1.840782779366505
269,0.0
270,-5.3430266534063655
271,0.0
272,-14.83741917492538
273,0.0
274,-22.238729808854625
275,0.0
276,-6.077008496295978
277,0.0
278,-18.408070143979828
279,0.0
280,-15.67474103624309
281,0.0
282,-7.760937151928326
283,0.0
284,-29.06008483268336
285,0.0
286,-9.664993429835405
287,0.0
288,-1.8180584876955663
289,0.0
290,-19.920997407456554
291,0.0
292,-18.26682236349023
293,0.0
294,-14.186085178799143
295,0.0
296,-4.0288508875246825
297,0.0
298,-4.255262724153914
299,0.0
300,-23.771912565134556
301,0.0
302,-2.812945123017278
303,0.0
304,-4.20608544928191
305,0.0
306,-1.463462725341874
307,0.0
308,-30.966300011265037
309,0.0
310,-4.88990018516961
311,0.0
312,-1.7789917409216918
313,0.0
314,-2.002642216568383
315,0.0
316,-5.405279568023727
317,0.0
318,-26.93630680001529
319,0.0
320,-16.13717657304282
321,0.0
322,-30.31747948867593
323,0.0
324,-1.5537512180626263
325,0.0
326,-7.073853712753155
327,0.0
328,-9.71200642298988
329,0.0
330,-3.1105350275177543
331,0.0
332,-8.847275197671001
333,0.0
334,-17.20476198292963
335,0.0
336,-14.968089790941015
337,0.0
338,-26.870801184146607
339,0.0
340,-12.787485230144535
341,0.0
342,-22.536209917001347
343,0.0
344,-10.644831705953623
345,0.0
346,-2.831380956313818
347,0.0
348,-1.7087806550102136
349,0.0
350,-0.569678566947868
351,0.0
352,-10.815046713987195
353,0.0
