,sumr_list
0,-145.07079282627663
1,0.0
2,-294.5426726386226
3,0.0
4,-78.35408952671222
5,0.0
6,-50.119186184727546
7,0.0
8,-68.7615665590015
9,0.0
10,-26.516955824608946
11,0.0
12,-37.36381360581175
13,0.0
14,-129.34005645939735
15,0.0
16,-18.630014117126276
17,0.0
18,-54.309830632188344
19,0.0
20,-68.31970016353455
21,0.0
22,-106.58114928864728
23,0.0
24,-18.99414181351504
25,0.0
26,-151.1851396504157
27,0.0
28,-401.05614224685314
29,0.0
30,-224.26234661590811
31,0.0
32,-9.479549082519238
33,0.0
34,-142.37443798659223
35,0.0
36,-56.183523281838866
37,0.0
38,-76.95940394271872
39,0.0
40,-24.05393570005726
41,0.0
42,-181.21095627654196
43,0.0
44,-106.4194435044178
45,0.0
46,-69.56115608004282
47,0.0
48,-69.50637952298031
49,0.0
50,-26.238642862479363
51,0.0
52,-151.730988807511
53,0.0
54,-34.77903846046113
55,0.0
56,-36.40282082372849
57,0.0
58,-42.223635560049935
59,0.0
60,-147.1577566330849
61,0.0
62,-28.428081913547715
63,0.0
64,-26.913480852533315
65,0.0
66,-102.55238200331507
67,0.0
68,-22.084057595102465
69,0.0
70,-101.78014976716354
71,0.0
72,-128.5469368326509
73,0.0
74,-17.1251852763647
75,0.0
76,-50.69366099884077
77,0.0
78,-26.377313722788053
79,0.0
80,-108.88692184185898
81,0.0
82,-73.43148306718392
83,0.0
84,-48.43585505916265
85,0.0
86,-117.3368683824981
87,0.0
88,-117.11359578563139
89,0.0
90,-40.775934239338355
91,0.0
92,-195.44203445335972
93,0.0
94,-145.2000858990498
95,0.0
96,-59.213237090859955
97,0.0
98,-60.925004199781824
99,0.0
100,-37.63134462311496
101,0.0
102,-51.80227952441579
103,0.0
104,-89.04051137981263
105,0.0
106,-74.06483331955187
107,0.0
108,-87.88510745223627
109,0.0
110,-143.3052023165703
111,0.0
112,-73.44259495144267
113,0.0
114,-14.069801393487037
115,0.0
116,-126.3569829233496
117,0.0
118,-63.0916435508149
119,0.0
120,-171.5579032787038
121,0.0
122,-116.94492080491594
123,0.0
124,-156.11673748211757
125,0.0
126,-144.8295857932924
127,0.0
128,-28.43472751360849
129,0.0
130,-73.62631425117462
131,0.0
132,-141.768534951014
133,0.0
134,-23.384407609519947
135,0.0
136,-122.14029745107446
137,0.0
138,-74.00966304705005
139,0.0
140,-23.803467678209405
141,0.0
142,-77.17541929774693
143,0.0
144,-26.5331837630315
145,0.0
146,-80.29754818141114
147,0.0
148,-69.05867843870985
149,0.0
150,-20.956196850221282
151,0.0
152,-11.23828123546451
153,0.0
154,-74.77761943645595
155,0.0
156,-62.16838824498766
157,0.0
158,-109.72927931147007
159,0.0
160,-65.6882859022889
161,0.0
162,-13.755090223806299
163,0.0
164,-18.957540232581202
165,0.0
166,-80.19749487299886
167,0.0
168,-36.99759729204103
169,0.0
170,-148.47831320327634
171,0.0
172,-18.991042880846816
173,0.0
174,-95.88241393732999
175,0.0
176,-45.946219536415526
177,0.0
178,-25.649430715136972
179,0.0
180,-95.86658790113775
181,0.0
182,-29.62873444418994
183,0.0
184,-72.1032047584422
185,0.0
186,-102.69605937659915
187,0.0
188,-35.640553744171896
189,0.0
190,-57.82975852578329
