,sumr_list
0,-206.53153164490584
1,0.0
2,-564.7238360267918
3,0.0
4,-208.23462700983947
5,0.0
6,-26.63496230446542
7,0.0
8,-16.624245039385194
9,0.0
10,-254.76491631936315
11,0.0
12,-27.81487586820358
13,0.0
14,-302.8827845021308
15,0.0
16,-19.404482335953716
17,0.0
18,-29.99288677545391
19,0.0
20,-83.68804394386136
21,0.0
22,-273.5640573090373
23,0.0
24,-19.649758037045412
25,0.0
26,-142.43543662218826
27,0.0
28,-42.82801495420425
29,0.0
30,-56.90173167426987
31,0.0
32,-63.14600093820427
33,0.0
34,-17.371654284119437
35,0.0
36,-229.46188346492266
37,0.0
38,-54.51660425665476
39,0.0
40,-396.051139211004
41,0.0
42,-12.79937925341758
43,0.0
44,-170.21761510653684
45,0.0
46,-52.0063497844995
47,0.0
48,-42.40722502780399
49,0.0
50,-539.5636626074357
51,0.0
52,-91.3549799277391
53,0.0
54,-38.090632005840064
55,0.0
56,-32.81242112435132
57,0.0
58,-22.266352493235374
59,0.0
60,-48.534796304097625
61,0.0
62,-58.992267269685215
63,0.0
64,-107.26186764530385
65,0.0
66,-47.00768871045203
67,0.0
68,-110.61495687264807
69,0.0
70,-40.60392089078285
71,0.0
72,-68.54907296327514
73,0.0
74,-74.65584834415748
75,0.0
76,-28.559816483943468
77,0.0
78,-283.1664025822872
79,0.0
80,-96.47459419164633
81,0.0
82,-46.117327237561916
83,0.0
84,-69.03457198987736
85,0.0
86,-31.174329193616487
87,0.0
88,-342.0571014308246
89,0.0
90,-11.964715014163582
91,0.0
92,-718.9745472609653
93,0.0
94,-94.01246024934737
95,0.0
96,-90.92543993931984
97,0.0
98,-49.835652353098546
99,0.0
100,-33.990630392551246
101,0.0
102,-131.28950376199182
103,0.0
104,-35.05911562188954
105,0.0
106,-196.9099686697449
107,0.0
108,-88.76150031011838
109,0.0
110,-102.56029058190991
111,0.0
112,-208.3288353745719
113,0.0
114,-16.075210636890308
115,0.0
116,-77.10999066814695
117,0.0
118,-147.50103330496583
119,0.0
120,-120.31213054087272
121,0.0
122,-94.96276912473922
123,0.0
124,-56.093561360976764
125,0.0
126,-51.87688279919
127,0.0
128,-40.09982613762659
129,0.0
130,-41.50301819537122
131,0.0
132,-38.65414322641908
133,0.0
134,-11.938654826649362
135,0.0
136,-81.10548654784266
137,0.0
138,-107.16002912131648
139,0.0
140,-101.40682463393831
141,0.0
142,-72.8644500406734
143,0.0
144,-191.61154123826194
145,0.0
146,-79.76170863746259
147,0.0
148,-79.46568058859484
149,0.0
150,-112.72869571774784
151,0.0
152,-46.616381936676895
153,0.0
154,-41.29743586148049
155,0.0
156,-47.50656874641308
157,0.0
158,-130.35596323710647
159,0.0
160,-22.14028648223557
161,0.0
162,-76.71910939637348
163,0.0
164,-123.64431602176423
165,0.0
166,-79.84439036558183
167,0.0
168,-47.26446472529379
169,0.0
170,-149.9531576505603
171,0.0
172,-40.28118340426927
173,0.0
174,-23.33259854886535
175,0.0
176,-53.652810673306654
177,0.0
178,-63.74710307159518
179,0.0
180,-107.20869722625719
181,0.0
182,-198.45616680522153
183,0.0
184,-181.5287251365078
185,0.0
186,-88.16244413333449
187,0.0
188,-51.625232452564205
189,0.0
190,-22.121667429267177
191,0.0
192,-34.42284985940382
193,0.0
194,-29.217301508394453
195,0.0
196,-59.469977444764
197,0.0
198,-111.96076064539349
199,0.0
200,-103.01824191185844
201,0.0
202,-26.232776937035684
203,0.0
204,-48.91007104061208
205,0.0
206,-19.752895699018282
207,0.0
208,-38.33584420231082
209,0.0
210,-203.2517512515517
211,0.0
212,-18.530384647312363
213,0.0
214,-97.02119684805868
215,0.0
216,-97.8802486358656
217,0.0
218,-33.52723826986551
219,0.0
220,-39.579617932456756
221,0.0
222,-34.56933413739715
223,0.0
224,-73.41471784703737
225,0.0
226,-129.0047010473346
227,0.0
228,-101.76500584624534
229,0.0
230,-11.974866067557935
231,0.0
232,-88.17453360236023
233,0.0
234,-78.40335037820043
235,0.0
236,-39.299015957005444
237,0.0
238,-52.64622808080691
239,0.0
240,-160.01510107571985
241,0.0
242,-63.521833465835776
243,0.0
244,-33.31766545047796
245,0.0
246,-18.68563828111543
247,0.0
248,-38.61151624019356
249,0.0
250,-13.509812110759405
251,0.0
252,-91.65480060046559
253,0.0
254,-22.519978729777215
255,0.0
256,-22.171722380924443
257,0.0
258,-203.20108966536498
259,0.0
260,-29.620181528120046
261,0.0
262,-62.030418606141524
263,0.0
264,-166.09306067252155
265,0.0
266,-204.20002088075944
267,0.0
268,-48.021696110144205
269,0.0
270,-88.50509764123746
271,0.0
272,-146.31692243841977
273,0.0
274,-9.518184325806088
275,0.0
276,-27.543582964640912
277,0.0
278,-59.94112948061664
279,0.0
280,-117.95487062168654
281,0.0
282,-54.91554660332652
283,0.0
284,-10.796835546898167
285,0.0
286,-214.54232191989948
287,0.0
288,-42.40127012039156
289,0.0
290,-43.86942349757224
291,0.0
292,-88.332848819956
293,0.0
294,-15.006362574143898
295,0.0
296,-5.6759868555825435
297,0.0
298,-80.1831738084754
299,0.0
300,-374.63628938350666
301,0.0
302,-360.12420545089134
303,0.0
