,sumr_list
0,-61.94496706285139
1,0.0
2,-13.64202400816377
3,0.0
4,-48.14577433353291
5,0.0
6,-6.30169625489173
7,0.0
8,-15.26303757008595
9,0.0
10,-12.447787305815051
11,0.0
12,-18.60546063444392
13,0.0
14,-25.0483562159061
15,0.0
16,-29.48735011438137
17,-41.188096142855166
18,-2.9673923275365373
19,-9.977083405696638
20,-4.883695759445404
21,-35.458996489766854
22,-3.6400977750340817
23,-34.204503857192854
24,-6.082190892125479
25,-4.756588914356375
26,-0.9285558052993752
27,-8.691383230751478
28,-1.3953493155205112
29,-20.24092746528609
30,-1.0918897716178404
31,-5.166771240356811
32,-11.126869836393801
33,-90.21720556999036
34,-2.658098025076584
35,-20.38251880814788
36,-8.35946987696739
37,-18.117616576156742
38,-1.3875187979718067
39,-8.080777956523596
40,-3.3372051313876288
41,-35.94220656603695
42,-2.5091576973426615
43,-52.606293962891954
44,-9.772706797762329
45,-31.653108181264592
46,-1.4378151309655762
47,-14.631013793481252
48,-3.3848328174156515
49,-27.065979499778763
50,-5.852610109048801
51,-14.230917024596646
52,-0.7557090390223206
53,-31.895688497885995
54,-0.226177281518142
55,-22.627927972215904
56,-6.778854431815594
57,-5.606938952138578
58,-5.078375040767621
59,-36.51544214888469
60,-8.185911761415426
61,-10.214679059899716
62,-6.355475148312212
63,-18.630766056054586
64,-5.219971549852598
65,-14.483581003042776
66,-9.728029218974111
67,-11.318662253987611
68,-1.9271413466813165
69,-23.49180589309638
70,-2.696108629196158
71,-54.33553279539922
72,-4.732140635387073
73,-27.673204809832807
74,-3.5685808310578544
75,-24.556813925149008
76,-0.9305175725539496
77,-16.425235528193653
78,-1.9688905413790614
79,-30.937787986147125
80,-7.231286601287794
81,-35.048522847500976
82,-5.547497035614558
83,-17.11545578662898
84,-3.149409753718851
85,-14.14247931302684
86,-1.3179787136647998
87,-27.94569625539437
88,-0.2928205213007602
89,-5.831521872514887
90,-1.080450672477216
91,-40.453549346629515
92,-2.956253230055958
93,-8.45386199787486
94,-5.1733302746928915
95,-26.987138174902125
96,-1.5555813040694437
97,-51.355973607430016
98,-4.414489227300225
99,-14.391717597449484
100,-10.3944686034198
101,-34.04563785552064
102,-4.277152910615667
103,-13.446702419487597
104,-2.1029190646364664
105,-14.692940971542754
106,-2.849296493709065
107,-17.199281406129376
108,-7.048015764235761
109,-11.64742463370021
110,-7.383934541776711
111,-67.05801462791437
112,-5.482055063381331
113,-3.5815253543838272
114,-4.960123009885142
115,-31.017578694331473
116,-2.1921701109245557
117,-81.13181070482628
118,-7.6064936849664875
119,-7.017578862378231
120,-4.687370668197779
121,-19.230446279426985
122,-4.018269344551476
123,-6.199276543188057
124,-4.840544908046948
125,-55.54893637037888
126,-5.7625753766627685
127,-13.931363226399366
128,-4.667977690401035
129,-14.602005946496424
130,-4.108611439073181
131,-23.559807924677806
132,-6.688823688375317
133,-41.08650120073006
134,-1.6360613628159828
135,-40.15190942020839
136,-5.09241511005642
137,-53.616393545352466
138,-9.007487703252252
139,-10.297907558037531
140,-4.658417172989254
141,-26.89584731478595
142,-6.358800009789749
143,-11.575951384613868
144,-5.501752604062072
145,-10.752377472972592
146,-3.0184429307294005
147,-130.04043893241206
148,-1.045163446554823
149,-8.036021316353711
150,-2.2582745239251927
151,-21.660269430296612
152,-4.344296538196308
153,-11.164112201770054
154,-2.7575063535343034
155,-9.376915878827162
156,-0.5785207225147212
157,-47.09361390246673
158,-2.703659117773437
159,-26.10206589364023
160,-1.5160345570117804
161,-25.92144766880605
162,-0.38536536946500527
163,-46.74390647302591
164,-1.387725306674755
165,-48.43324313748865
166,-2.723379329144607
167,-8.212157764948875
168,-0.9482259922962767
169,-21.25781474501045
170,-3.5770546579076536
171,-37.12218338717073
172,-0.5819564940981995
173,-62.102457905835045
174,-1.2560762959840768
175,-8.365702664679256
176,-2.836480202539035
177,-33.754990031215954
178,-0.5585960744724534
179,-18.81440879959281
180,-0.11437133573211078
181,-17.113492141096412
182,-1.6922293800865837
183,-61.78273416371902
184,-0.45202102000825234
185,-15.985468562548833
186,-2.7319597898234402
187,-28.96571630322164
