,sumr_list
0,-12721.210735955046
1,-6341.198551997228
2,-14138.483789080849
3,-8535.866136931445
4,-9069.28774228335
5,-10911.642313995326
6,-8647.806640251938
7,-7831.58031002451
8,-11665.09743496502
9,-9740.262653241436
10,-10276.200034248955
11,-7484.313979916904
12,-9544.846701596798
13,-9249.084251901597
14,-7559.288967969728
15,-8663.323958602039
16,-8645.944202281495
17,-12217.44664183348
18,-5272.547032939254
19,-5855.4731770129765
20,-6920.73763464892
21,-6715.668469987923
22,-9462.551177975474
23,-14862.999078877343
24,-7395.068466624069
25,-6627.347312683561
26,-6894.155385189002
27,-5700.496798620858
28,-7567.013892430282
29,-8019.904822175298
30,-7263.358623607999
31,-9667.45529265432
32,-7353.070668352033
33,-10690.556865903234
34,-6896.4158077181655
35,-7256.81281319963
36,-11564.634085758462
37,-9672.765693334708
38,-10363.61231804769
39,-8349.705254953613
40,-6130.546705889421
41,-6227.949906557738
42,-6850.37050563076
43,-7040.7615310449255
44,-7748.942275464016
45,-9223.97218946199
46,-9031.175470360455
47,-7581.2216581170915
48,-8860.451679414007
49,-12333.608234175495
50,-5551.502283104837
51,-5802.306607959471
52,-11086.959784204157
53,-6384.732803291953
54,-6477.924634454376
55,-5841.246222262116
56,-7981.784353898768
57,-4726.825555100439
58,-4201.806063543743
59,-8537.357389447627
60,-6605.044326061909
61,-4643.965404047563
62,-6708.458402457883
63,-1049.2690261730784
64,-4411.38746560054
65,-1012.7834645273539
66,-5059.547409425364
67,-4877.202931908939
68,-3582.7016146044607
69,-2237.6002419591223
70,-3287.8676475201205
71,-4158.70036562788
72,-5040.001763923263
73,-6455.925123126831
74,-1472.0517625412892
75,-5808.4837668444
76,-3529.5912219738816
77,-2027.292323636921
78,-2684.739583113235
79,-4209.923326633758
80,-2511.9518791931114
81,-3256.8857665702244
82,-2648.465830134724
83,-1951.136990451267
84,-2323.8783906724216
85,-4979.687333269832
86,-2308.126632619645
87,-1978.2494113627595
88,-1783.6099547019378
89,-2346.384504249148
90,-3681.745830353597
91,-1400.8853395054673
92,-3351.971334447101
93,-3043.0423720347826
94,-4607.95430037165
95,-4414.527081771304
96,-1091.8917158504466
97,-925.7978593524931
98,-2675.4812198744125
99,-3321.8446812501866
100,-1183.0113236298305
101,-225.0874334706988
102,-3796.3288556056445
103,-422.87464106677896
104,-574.7465304606797
105,-294.5869871141693
106,-2223.194300670733
107,-267.96140840948294
108,-1229.496970378366
109,-3770.6650302588173
110,-866.4147925689189
111,-696.5451322104296
112,-913.5028033518306
113,-427.2087680061607
114,-508.70741294042097
115,-652.4202042438297
116,-529.2549659767211
117,-590.5295618367602
118,-387.9239831654521
119,-746.3598133266279
120,-239.2593110297028
121,-638.0891603281572
122,-519.23869725853
123,-818.0502524292773
124,-233.4489488503193
125,-742.6149914273591
126,-664.0402196208895
127,-335.1785488203125
128,-386.0661123142631
129,-758.2430811233673
130,-201.35331935478484
131,-198.54368057569934
132,-205.46749634542505
133,-779.7048519947743
134,-222.55979098001313
135,-72.90159497752451
136,-455.5710550706593
137,-965.0451709540258
138,-19.766074067248052
139,-677.7129787612552
140,-18.039249503097018
141,-495.56563082438385
142,-1946.7249830739847
143,-798.3361278476328
144,-844.0103340863471
145,-492.1561061454181
146,-3.2711105418437763
147,-243.59304956024818
148,-17.481525637042488
149,-502.1008897766374
150,-724.2003685524224
151,-860.4038196693381
152,-298.3948400633977
153,-955.169974345839
154,-161.51077104270465
155,-457.3759561174452
156,-218.31638425967782
157,-24.09609770797266
158,-42.59863284711098
159,-346.33475571037883
160,-16.717976412966532
161,-200.33214241780516
162,-575.4382573462094
163,-419.65592781789366
164,-153.2542975981456
165,-211.98547624514737
166,-267.75701597955566
167,-541.6665284132072
168,-69.61280083899717
169,-53.31332064050514
170,-1394.090929309651
171,-41.685056000109775
172,-531.7309504279772
173,-518.2704420577511
174,-681.614659347709
175,-210.2045800651451
176,-6.417338823294946
177,-360.64829877808495
178,-310.32888849259035
179,-193.1717379659991
180,-215.7357306500707
181,-701.4792867748224
182,-612.2745744866189
183,-6.823350374504238
184,-393.67481764308775
185,-92.8813429049606
186,-32.307495062809906
187,-156.33927871308143
188,-141.5073550121105
189,-50.73087493012826
190,-62.98141956458835
191,-9.91379145560618
192,-6.526771087556687
193,-126.07564043652461
194,-342.9499286219293
195,-734.6862508814487
196,-640.9735138632891
197,-11.49862748872613
198,-272.84501860206854
199,-293.7969560775619
200,-4.209569899640928
201,-273.25165959321225
202,-697.1040739098102
203,-23.92351010152855
204,-7.5811726503176144
205,-35.27143081249167
206,-5.857955420108751
207,-16.589807439704185
208,-1.675420398754209
209,-615.2555343769916
210,-47.15751085566487
211,-200.55791277177022
212,-317.6929861218155
213,-251.19469871771284
214,-288.9533255754067
215,-13.476009966336417
216,-147.1702746032699
217,-151.35923840358342
218,-29.094433143330242
219,-208.8484565145692
220,-3.230548275037287
221,-83.80336648590728
222,-1.9553196501206875
223,-74.62137159381908
224,-102.61438349363647
225,-194.36895700905265
226,-136.99127428236844
227,-28.589338850955773
228,-461.0795416640142
229,-7.0733630667094545
230,-265.2192432016082
231,-9.131955950644146
232,-8.064607502729782
233,-14.413705948768197
234,-24.36265899135205
235,-73.81337316530431
236,-90.85433877414921
237,-167.76780384807276
238,-6.4192635890254035
239,-18.823193230965728
240,-260.5184184016986
241,-52.40991033031651
242,-19.522750413523113
243,-20.695009696895607
244,-4.314691537538738
245,-30.041370098139982
246,-12.871436758125435
247,-146.26541811921044
248,-13.441372488819495
249,-15.210277012817455
250,-142.37894515272606
251,-292.17269416436693
252,-144.7444136343163
253,-65.54302843060366
254,-18.588798355651377
255,-96.77281639470938
256,-303.88140032958063
257,-164.245217039186
258,-8.39760933162974
259,-5.5511313145269225
260,-147.86060759292968
261,-179.88059215794803
262,-13.917075630561984
263,-24.141184913411806
264,-695.8075061518095
265,-6.009154375831243
266,-6.301394203970234
267,-9.081250125868348
268,-296.040921767359
269,-51.633042836957856
270,-8.302911242151831
271,-6.274511562915016
272,-14.832523035476017
273,-18.669111025256655
274,-25.770158980625286
275,-47.42256079923905
276,-3.0334685445733425
277,-12.820411789880751
278,-8.039334888894723
279,-60.55035854743238
280,-101.22941170498078
281,-241.39077188973584
282,-5.780442481925365
283,-12.3025339135773
284,-270.55371160026687
285,-108.01046899225751
286,-101.92974896887038
287,-455.2625572840497
288,-575.1719923186924
289,-30.930996277755927
290,-10.881716787476229
291,-22.429865184643635
292,-7.098626056260627
293,-14.213523620101626
294,-206.62461087153017
295,-212.44487891151516
296,-56.824034070025
297,-146.0649865905531
298,-113.03295887046363
299,-326.32093803409856
300,-1.6577955144365555
301,-15.999943177209596
302,-4.24472034219537
303,-17.567152323074602
304,-3.3594826535153115
305,-46.93198040492919
306,-7.479886015301522
307,-11.559791500658234
308,-10.094899680059225
309,-23.92865227380859
310,-2.3284550572473655
311,-16.2218940400024
312,-259.4520402636742
313,-14.628686738779543
314,-58.83592912578028
315,-10.354389959336164
316,-104.92156930621344
317,-39.266946662948435
318,-204.3432167221653
319,-13.948409642453365
320,-3.6265845660432907
321,-153.19681442493194
322,-1.8631371695515624
323,-221.68147304399594
324,-42.831574046034056
325,-25.427812463423226
326,-27.210517005377127
327,-136.74428028470595
328,-15.459031751055909
329,-42.71593885545898
330,-3.5654526936335516
331,-140.39855811178182
332,-200.6646680811961
333,-6.860910000609253
334,-586.3200171468894
335,-211.98944891648745
336,-649.7280072989261
337,-21.6785070822169
338,-2.968659395889095
339,-22.38791273069706
340,-1.9863795300737104
341,-197.17358009781216
342,-6.079728628657854
343,-12.975722303150585
344,-72.5988602421553
345,-27.927774189647735
346,-265.89515168404
347,-193.10361299488804
348,-3.1839877455895866
349,-15.035320311363254
350,-3.057986153515817
351,-95.82599945422383
352,-2.322641050871685
353,-37.02981355261849
354,-14.52294207748752
355,-45.21107953934969
356,-4.0506999171978055
357,-376.1066022927757
358,-139.1817985017487
359,-18.653262763788263
360,-5.390636832195377
361,-19.026154476002326
