,sumr_list
0,-576.6351813544118
1,0.0
2,-321.8559807207736
3,0.0
4,-400.2022129317519
5,0.0
6,-51.261716961170485
7,0.0
8,-207.64508276406926
9,0.0
10,-193.41107817681615
11,0.0
12,-201.0430271934738
13,0.0
14,-72.77107836381506
15,0.0
16,-82.9223455879243
17,0.0
18,-76.77355804964336
19,0.0
20,-61.60503594072135
21,0.0
22,-97.9549641288205
23,0.0
24,-73.40905983779234
25,0.0
26,-61.80867828977642
27,0.0
28,-63.89175465037059
29,0.0
30,-83.5482571973733
31,0.0
32,-132.41528857640606
33,0.0
34,-82.32361185540447
35,0.0
36,-109.91092576849907
37,0.0
38,-57.6495329175912
39,0.0
40,-143.49997196730737
41,0.0
42,-312.4075591117146
43,0.0
44,-83.15316298672863
45,0.0
46,-168.82171262329402
47,0.0
48,-273.85748023485655
49,0.0
50,-249.66844045286084
51,0.0
52,-110.62993096108559
53,0.0
54,-71.38935070258299
55,0.0
56,-84.66920260977305
57,0.0
58,-86.29463182654669
59,0.0
60,-84.72238615929272
61,0.0
62,-92.5096199867615
63,0.0
64,-93.02467576763271
65,0.0
66,-112.82254073707227
67,0.0
68,-211.07940827875018
69,0.0
70,-128.07341352540567
71,0.0
72,-360.72158730862975
73,0.0
74,-70.5155433772642
75,0.0
76,-62.885670211959834
77,0.0
78,-42.7357848143353
79,0.0
80,-96.64591773332934
81,0.0
82,-56.1070941365145
83,0.0
84,-497.1247125799568
85,0.0
86,-99.00905885199101
87,0.0
88,-172.82364950484668
89,0.0
90,-95.20956062013877
91,0.0
92,-203.70577242279384
93,0.0
94,-72.13865161837178
95,0.0
96,-132.61601382406238
97,0.0
98,-154.07771206090865
99,0.0
100,-873.839819921812
101,0.0
102,-122.9934788886254
103,0.0
104,-47.77663865657087
105,0.0
106,-124.78531841319442
107,0.0
108,-65.62640546141041
109,0.0
110,-63.05689138567688
111,0.0
112,-544.6507372442915
113,0.0
114,-89.10832886673371
115,0.0
116,-142.4430646921934
117,0.0
118,-124.20146170798081
119,0.0
120,-650.7749310286798
121,0.0
122,-47.42410503018391
123,0.0
124,-97.87680075100089
125,0.0
126,-105.35601120478304
127,0.0
128,-98.29931648221394
129,0.0
130,-93.06512351657554
131,0.0
132,-129.69874554245456
133,0.0
134,-624.5932709101819
135,0.0
136,-164.92955929998186
137,0.0
138,-138.16701214837926
139,0.0
140,-51.27964417901264
141,0.0
142,-50.81340511470638
143,0.0
144,-89.29778375780683
145,0.0
146,-108.9657716345791
147,0.0
148,-126.39093612842069
149,0.0
150,-119.53903143860563
151,0.0
152,-151.72063316063878
153,0.0
154,-119.78924252054516
155,0.0
156,-309.30761299614664
157,0.0
158,-91.8718891274753
159,0.0
160,-258.3625468611872
161,0.0
162,-356.0328800041136
163,0.0
164,-135.1623748876518
165,0.0
166,-895.5541852380562
167,0.0
168,-82.32654023998627
169,0.0
170,-184.5192098947489
171,0.0
172,-63.84633194463931
173,0.0
174,-886.5856517958218
175,0.0
176,-74.60345512261344
177,0.0
178,-238.29372055827506
179,0.0
180,-178.5597763151064
181,0.0
182,-93.32348344554165
183,0.0
184,-101.97762081769393
185,0.0
186,-340.9381938881648
187,0.0
188,-106.49386778848609
189,0.0
190,-116.3661235870486
191,0.0
192,-382.42889852983984
193,0.0
194,-109.23776108199873
195,0.0
196,-65.25729518021235
197,0.0
198,-164.00000197308367
199,0.0
200,-231.89051627493248
201,0.0
202,-110.99290655164691
203,0.0
204,-96.05040967480545
205,0.0
206,-242.5164914550654
207,0.0
208,-60.85584349414629
209,0.0
210,-294.90346718913594
211,0.0
212,-107.27272529181556
213,0.0
214,-68.00909234242256
215,0.0
216,-368.7278024813095
217,0.0
218,-276.89776933231457
219,0.0
220,-150.75183909910407
221,0.0
222,-216.44532371954634
223,0.0
224,-114.83325874138704
225,0.0
226,-607.744194749657
227,0.0
228,-89.80549824165877
229,0.0
230,-270.1226272279473
231,0.0
232,-192.75515562552187
233,0.0
234,-1655.5969710202605
235,0.0
236,-147.58960355365298
237,0.0
238,-221.0678792432018
239,0.0
240,-243.98467374167163
241,0.0
242,-52.063127008005566
243,0.0
244,-62.15541528476572
245,0.0
246,-93.40316849557475
247,0.0
248,-120.91389280756954
249,0.0
250,-203.02172119549127
251,0.0
252,-65.32946048337661
253,0.0
254,-96.3950127674899
255,0.0
256,-168.49274561411067
257,0.0
258,-110.24866644378048
259,0.0
260,-52.14594696033496
261,0.0
262,-92.69899066427811
263,0.0
264,-236.47382569445358
265,0.0
266,-138.0422059944051
267,0.0
268,-76.10002700106777
269,0.0
270,-143.3374160365508
271,0.0
272,-56.312717843629734
273,0.0
274,-64.3331201820875
275,0.0
276,-112.77046108118559
277,0.0
278,-153.18498048275345
279,0.0
280,-203.26000392791377
281,0.0
282,-687.1717408548113
283,0.0
284,-164.86876299705614
285,0.0
286,-228.6397143387581
287,0.0
288,-110.43253557614447
289,0.0
290,-311.6721222674517
291,0.0
292,-187.23027809176722
293,0.0
294,-125.30485046836301
295,0.0
296,-100.88886968848253
297,0.0
298,-53.207072562311765
299,0.0
300,-65.76093788916053
301,0.0
302,-163.7705607193689
303,0.0
304,-190.0491113726103
305,0.0
306,-95.79128595984784
307,0.0
308,-166.64823810837854
309,0.0
310,-285.60823885986645
311,0.0
312,-94.60359332653087
313,0.0
314,-192.681112996169
315,0.0
316,-113.46205325948341
317,0.0
318,-588.964885481839
319,0.0
320,-220.21173456970757
321,0.0
322,-199.73896465348002
323,0.0
324,-201.36942438069184
325,0.0
326,-197.48873190887667
327,0.0
328,-102.89103271277261
329,0.0
330,-246.06253119526787
331,0.0
332,-117.7420354996647
333,0.0
334,-85.19149808537041
335,0.0
336,-138.2498198255584
337,0.0
338,-52.603290972286445
339,0.0
340,-274.1516961135099
341,0.0
342,-159.11761935093517
343,0.0
344,-51.661935167997655
345,0.0
346,-243.21086800038265
347,0.0
348,-129.96595218961514
349,0.0
350,-115.68437629856233
351,0.0
352,-128.11009699991016
353,0.0
354,-64.21550369711525
355,0.0
356,-220.37340093800992
357,0.0
358,-170.5619530201248
359,0.0
360,-62.561529475624745
361,0.0
362,-179.2556102122009
363,0.0
364,-194.516854959075
365,0.0
366,-105.90244624489667
367,0.0
368,-199.66784309839068
369,0.0
370,-168.17079106059026
371,0.0
372,-111.1715363086156
373,0.0
374,-160.40469220907553
375,0.0
376,-161.01711646925634
377,0.0
378,-151.26787479136303
379,0.0
380,-55.69835615366542
381,0.0
382,-102.02025349239791
383,0.0
384,-112.64281322377308
385,0.0
386,-71.94087298493797
387,0.0
388,-135.70272420521277
389,0.0
390,-107.4152104696334
391,0.0
392,-188.6088090513274
393,0.0
394,-234.94729474951296
395,0.0
396,-96.00917291597139
397,0.0
398,-436.0493815875952
399,0.0
400,-394.13085477926563
401,0.0
402,-271.9027645162365
403,0.0
404,-55.41284054703255
405,0.0
406,-274.02697806277604
407,0.0
408,-185.77783552899237
409,0.0
410,-129.87267824880996
411,0.0
412,-191.4825027038675
413,0.0
414,-136.98146491618846
415,0.0
416,-126.5694869206946
417,0.0
418,-115.60263466166411
419,0.0
420,-127.51476712771047
421,0.0
422,-398.5130441382514
423,0.0
424,-83.06167557301386
425,0.0
426,-137.88975166258712
427,0.0
428,-134.804203942118
429,0.0
430,-240.497190468964
431,0.0
432,-53.33587790266629
433,0.0
434,-111.65014739921436
435,0.0
436,-132.28814114170422
437,0.0
438,-84.06174547493382
439,0.0
440,-204.16325634227107
441,0.0
442,-133.72374962495195
443,0.0
444,-189.86912073756017
445,0.0
446,-108.07367370469441
447,0.0
448,-168.70063695419898
449,0.0
450,-145.19580022701706
451,0.0
452,-153.51546363757154
453,0.0
454,-145.88972066690087
455,0.0
456,-149.18104042512476
457,0.0
458,-80.0319257064163
459,0.0
