r,att_out,pos_out
-2.148845057621763,0,0
-2.150312151141337,0,0
-2.1501316053924375,0,0
-2.1498977067240523,0,0
-2.150017850371096,0,0
-2.14977542823526,0,0
-2.149725185297223,0,0
-2.149467967185701,0,0
-2.1492561431750357,0,0
-2.1492796623051555,0,0
-2.1492491109770544,0,0
-2.149003507086437,0,0
-2.148455973224812,0,0
-2.1487149600491713,0,0
-2.148846033033653,0,0
-2.148778565879422,0,0
-2.148656125500629,0,0
-2.1484219276622305,0,0
-2.148260313761386,0,0
-2.1480238628541724,0,0
-2.148056058558504,0,0
-2.1505099254651636,0,0
-2.1478780355896694,0,0
-2.1479777593187026,0,0
-2.148011729864922,0,0
-2.14783692696896,0,0
-2.1479532236409433,0,0
-2.1481625103743798,0,0
-2.1482277660837243,0,0
-2.1483275141751346,0,0
-2.1481109383880415,0,0
-2.1524722259259303,0,0
-2.1483872951981176,0,0
-2.1486688162858902,0,0
-2.152570488371982,0,0
-2.148286068450283,0,0
-2.1477590153966237,0,0
-2.147502712334308,0,0
-2.147439485461286,0,0
-2.1473074799613534,0,0
-2.1471762747160774,0,0
-2.1465281242457226,0,0
-2.147954286751817,0,0
-2.146944401486058,0,0
-2.146153763118291,0,0
-2.146739384466206,0,0
-2.146686211359373,0,0
-2.146580010011606,0,0
-2.1467361155249716,0,0
-2.147960087139737,0,0
-2.1486155640808584,0,0
-2.2753152468820232,0,0
-2.262174296992519,0,0
-2.254196307706932,0,0
-2.2440454857816046,0,0
-2.2353877830269604,0,0
-2.2273157863490223,0,0
-2.2205962582774705,0,0
-2.211419085045667,0,0
-2.2052089101656898,0,0
-2.2000240738261074,0,0
-2.1937251383307106,0,0
-2.186986279939429,0,0
-2.183479325083123,0,0
-2.1781052609629348,0,0
-2.174407776604136,0,0
-2.171184410003673,0,0
-2.168321541348474,0,0
-2.165647089969291,0,0
-2.1617751829196554,0,0
-2.165909785916099,0,0
-2.159819882985845,0,0
-2.158651675014391,0,0
-2.1576852404013307,0,0
-2.156335271691344,0,0
-2.156324673897686,0,0
-2.1559489486887653,0,0
-2.1556127108465044,0,0
-2.1553354994788076,0,0
-2.1552984466293226,0,0
-2.155608393578379,0,0
-2.16147797695799,0,0
-2.1552891581636415,0,0
-2.156461848225592,0,0
-2.154863375801909,0,0
-2.1546742910552816,0,0
-2.155905585218654,0,0
-2.1559995996115693,0,0
-2.1614193335679883,0,0
-2.1554968812599964,0,0
-2.1558402459990558,0,0
-2.1562539106720746,0,0
-2.1562096525009333,0,0
-2.1562567494334455,0,0
-2.1563112174571004,0,0
-2.156360514347711,0,0
-2.1563997835855524,0,0
-2.1564591335488426,0,0
-2.1565269962873836,0,0
-2.156608027992308,0,0
-2.1565270530413354,0,0
-2.15644219092053,0,0
-2.4334204573391296,0,0
-2.4181751109751577,0,0
-2.398724388603321,0,0
-2.3780931369255294,0,0
-2.3602831175644634,0,0
-2.3406393213243617,0,0
-2.3215701640759043,0,0
-2.305319928915141,0,0
-2.2912736853932705,0,0
-2.2752316327602147,0,0
-2.266520569626936,0,0
-2.2522649600744766,0,0
-2.2425423911903177,0,0
-2.2355181667284176,0,0
-2.226912449824247,0,0
-2.2199942511247035,0,0
-2.2137275069283517,0,0
-2.2081487277760794,0,0
-2.2039841856281805,0,0
-2.200922116152427,0,0
-2.1984398424648606,0,0
-2.1965412388756853,0,0
-2.1944162543695445,0,0
-2.1927754514369195,0,0
-2.190556960186168,0,0
-2.1904605614695507,0,0
-2.189978033720533,0,0
-2.189643216764432,0,0
-2.1894717798056305,0,0
-2.189229806584698,0,0
-2.1893214738844677,0,0
-2.1882829532505226,0,0
-2.189266399970309,0,0
-2.1893548736811703,0,0
-2.189040889846747,0,0
-2.1889134329640654,0,0
-2.18874673509986,0,0
-2.188531464315463,0,0
-2.188880864213141,0,0
-2.1885457871088785,0,0
-2.1883387390864413,0,0
-2.188651662400541,0,0
-2.1885029026591987,0,0
-2.1873656597608226,0,0
-2.189734548380479,0,0
-2.187035665253044,0,0
-2.1883105130377527,0,0
-2.188985624944598,0,0
-2.1881938581615774,0,0
-2.1876428793587883,0,0
-2.1876162288606253,0,0
-2.6335699275027906,0,0
-2.607016319206238,0,0
-2.5789177035617565,0,0
-2.548130671275578,0,0
-2.518914233620687,0,0
-2.4884421199961153,0,0
-2.461712117110808,0,0
-2.43389323588516,0,0
-2.411137281074526,0,0
-2.3894777258297544,0,0
-2.368098440694818,0,0
-2.351823114656076,0,0
-2.3370061742623016,0,0
-2.3232358650878204,0,0
-2.309043191474124,0,0
-2.2990580571104204,0,0
-2.289011555474467,0,0
-2.282880932168951,0,0
-2.2761614863926067,0,0
-2.270653773406423,0,0
-2.2660013149233955,0,0
-2.2622998109634107,0,0
-2.258271577319846,0,0
-2.255315335311112,0,0
-2.2530031406853674,0,0
-2.2512678455677038,0,0
-2.249513490658616,0,0
-2.247928153104856,0,0
-2.2489012459079327,0,0
-2.2477137260592803,0,0
-2.244575578416524,0,0
-2.2441250559020256,0,0
-2.2461449774132727,0,0
-2.2461402089392712,0,0
-2.2435300958084667,0,0
-2.2446751463335164,0,0
-2.2463241083997865,0,0
-2.2453874994513248,0,0
-2.245443139221019,0,0
-2.245266616519082,0,0
-2.2451829578140563,0,0
-2.2452576670194264,0,0
-2.244515818107799,0,0
-2.2440507839727664,0,0
-2.2437846754774813,0,0
-2.2435203062817433,0,0
-2.243511841084446,0,0
-2.2434017017066417,0,0
-2.243056869317399,0,0
-2.2422057758850413,0,0
-2.245078454465746,0,0
-2.871113352059257,0,0
-2.827137255408045,0,0
-2.7869428725317213,0,0
-2.743954227729641,0,0
-2.7115993542474097,0,0
-2.667716474865883,0,0
-2.6274441513948794,0,0
-2.5901240914278527,0,0
-2.5574092481695327,0,0
-2.5278608051035096,0,0
-2.4999901252824963,0,0
-2.476457309705667,0,0
-2.453525468138238,0,0
-2.4346373851707694,0,0
-2.417705172432255,0,0
-2.40333611044488,0,0
-2.3927997562909855,0,0
-2.3787672957594923,0,0
-2.370831970081329,0,0
-2.3626913578390965,0,0
-2.3555791283017586,0,0
-2.349107463923873,0,0
-2.34196450131924,0,0
-2.34000064250911,0,0
-2.336324780266656,0,0
-2.333863360623452,0,0
-2.3314808125146347,0,0
-2.3295531093816195,0,0
-2.3276468682622,0,0
-2.3255424998324616,0,0
-2.325197054388946,0,0
-2.3249697129028473,0,0
-2.324439067982627,0,0
-2.322678873247163,0,0
-2.323092130422584,0,0
-2.3228146132503524,0,0
-2.322367825832676,0,0
-2.3220413734076395,0,0
-2.3221074594552746,0,0
-2.322001393157691,0,0
-2.321848759114681,0,0
-2.3214365139596045,0,0
-2.321018873108977,0,0
-2.3204802496034764,0,0
-2.319907967949621,0,0
-2.3193057022298347,0,0
-2.3184661491091645,0,0
-2.317605053459025,0,0
-2.3166102599724225,0,0
-2.3169617436566576,0,0
-2.3165809449636674,0,0
-3.130241993667685,0,0
-3.081494483599223,0,0
-3.0275305827268135,0,0
-2.970221712393684,0,0
-2.9199719577866916,0,0
-2.869250138235573,0,0
-2.8193520338394906,0,0
-2.7729525047437393,0,0
-2.7291316311683738,0,0
-2.6873932175869704,0,0
-2.6538281639646186,0,0
-2.623892958842783,0,0
-2.5950330287963412,0,0
-2.5708295379775983,0,0
-2.549386667484216,0,0
-2.529261460791275,0,0
-2.512647064150672,0,0
-2.497764619363173,0,0
-2.4859010854985812,0,0
-2.4754428769620387,0,0
-2.465657245878956,0,0
-2.458561877740621,0,0
-2.452591632259622,0,0
-2.447157753220233,0,0
-2.4422979274276817,0,0
-2.438357980405639,0,0
-2.4348426362716484,0,0
-2.430978996612169,0,0
-2.4286730998012733,0,0
-2.4278052159675925,0,0
-2.426467244699865,0,0
-2.4249735343509706,0,0
-2.42313936897829,0,0
-2.422579750681468,0,0
-2.4221551406053736,0,0
-2.421813315735257,0,0
-2.420051469973219,0,0
-2.4196238220696937,0,0
-2.4191609513424517,0,0
-2.4190071310112065,0,0
-2.418426176264958,0,0
-2.4167218860356594,0,0
-2.4173698704064193,0,0
-2.4170968895120555,0,0
-2.4164751650501732,0,0
-2.415969984147428,0,0
-2.4155829440456835,0,0
-2.4144639871689217,0,0
-2.4134201900970456,0,0
-2.4118739236575286,0,0
-2.412028812489039,0,0
-3.4294808911775885,0,0
-3.363948548463816,0,0
-3.2991721546489434,0,0
-3.231620537459771,0,0
-3.1639732663170195,0,0
-3.10104391871986,0,0
-3.0403760013096615,0,0
-2.9778038167376417,0,0
-2.9252425398199238,0,0
-2.87854399306615,0,0
-2.830809690247055,0,0
-2.7960703404953677,0,0
-2.758028027902218,0,0
-2.7296216279798116,0,0
-2.702760077145323,0,0
-2.6779165371944895,0,0
-2.6581477471781483,0,0
-2.6400033772940446,0,0
-2.6232429337054985,0,0
-2.6114535896665547,0,0
-2.600658645122915,0,0
-2.5906357567142733,0,0
-2.581709619378364,0,0
-2.5715615422795306,0,0
-2.568129977667492,0,0
-2.563717466809889,0,0
-2.5596425647646437,0,0
-2.5563757577079924,0,0
-2.5527515055220933,0,0
-2.550673353782388,0,0
-2.5489863251865548,0,0
-2.5463132884356727,0,0
-2.5462777810476895,0,0
-2.544636385564038,0,0
-2.542947437951801,0,0
-2.542625427559363,0,0
-2.542405961287758,0,0
-2.5411346205706127,0,0
-2.539776120769764,0,0
-2.5385444502556056,0,0
-2.537147217077646,0,0
-2.536407752019195,0,0
-2.537193553868209,0,0
-2.536804937528868,0,0
-2.5359787055865888,0,0
-2.5350200287694076,0,0
-2.5340347999341315,0,0
-2.5328843203214846,0,0
-2.5319541894335194,0,0
-2.5312887604210523,0,0
-2.5305786185727603,0,0
