,sumr_list
0,-48.877483898010254
1,0.0
2,-55.78028826740357
3,0.0
4,-6.622678269032827
5,0.0
6,-25.853523351524878
7,0.0
8,-14.500342159269183
9,0.0
10,-17.136516814794494
11,0.0
12,-8.941664119677112
13,0.0
14,-6.173840641333591
15,0.0
16,-20.52869932381321
17,0.0
18,-96.61549205301107
19,0.0
20,-40.64342335506582
21,0.0
22,-23.28888414561034
23,0.0
24,-27.423153630157124
25,0.0
26,-3.217515805794872
27,0.0
28,-53.21551359332772
29,0.0
30,-25.41204286994813
31,0.0
32,-22.838014663728107
33,0.0
34,-31.28149055365627
35,0.0
36,-35.81091150663103
37,0.0
38,-22.86664496994836
39,0.0
40,-16.44704212705505
41,0.0
42,-7.442544127812558
43,0.0
44,-9.361965859870494
45,0.0
46,-43.715902803406955
47,0.0
48,-30.99769649477962
49,0.0
50,-34.179703168598465
51,0.0
52,-2.6512630507845434
53,0.0
54,-11.421091170736632
55,0.0
56,-18.435049250137407
57,0.0
58,-91.53339979711423
59,0.0
60,-8.989963849874574
61,0.0
62,-38.51553308711509
63,0.0
64,-14.855167688916213
65,0.0
66,-17.976221394348077
67,0.0
68,-46.94460766265706
69,0.0
70,-10.431236178707934
71,0.0
72,-30.62898315940521
73,0.0
74,-21.317524639797742
75,0.0
76,-8.021189976955956
77,0.0
78,-55.0047760610509
79,0.0
80,-49.41645098862101
81,0.0
82,-9.219263137673346
83,0.0
84,-20.28899243384731
85,0.0
86,-26.612679871826273
87,0.0
88,-41.184419225412064
89,0.0
90,-19.99901300566122
91,0.0
92,-51.26537429230051
93,0.0
94,-100.40541015772881
95,0.0
96,-20.010849244610736
97,0.0
98,-11.02627339009096
99,0.0
100,-36.89895967287241
101,0.0
102,-35.51987409214567
103,0.0
104,-9.088547758292364
105,0.0
106,-28.510140483157354
107,0.0
108,-9.42095544175811
109,0.0
110,-6.364727188183631
111,0.0
112,-33.978094328671816
113,0.0
114,-63.38020136368946
115,0.0
116,-21.4306608910134
117,0.0
118,-12.214845033814527
119,0.0
120,-27.17700003378912
121,0.0
122,-35.58998360173989
123,0.0
124,-18.805273364264664
125,0.0
126,-23.922669066641884
127,0.0
128,-81.01194229256079
129,0.0
130,-4.686493933207515
131,0.0
132,-71.95822025409858
133,0.0
134,-50.118659831866
135,0.0
136,-4.1572994900725355
137,0.0
138,-74.94919355074806
139,0.0
140,-85.83885027480416
141,0.0
142,-3.5892323969737197
143,0.0
144,-7.304122052023007
145,0.0
146,-9.846651633990884
147,0.0
148,-11.287014973831857
149,0.0
150,-94.73733707282014
151,0.0
152,-12.350873130626933
153,0.0
154,-68.44086506552087
155,0.0
156,-8.132514647235215
157,0.0
158,-29.136963950684233
159,0.0
