r,att_out,pos_out
-59.944891556136305,0,0
-59.840538587520406,0,0
-59.83740263365544,0,0
-59.83429183077091,0,0
-59.83120621725523,0,0
-59.828145091837726,0,0
-59.82510802944506,0,0
-59.82209533270789,0,0
-59.81910592373459,0,0
-59.81614021782875,0,0
-59.813197325937836,0,0
-59.81027781773738,0,0
-59.80738047458439,0,0
-59.804505305965506,0,0
-59.801652262764904,0,0
-59.798820743449475,0,0
-59.79601095294945,0,0
-59.793222639320255,0,0
-59.79045495510327,0,0
-59.7877079546482,0,0
-59.784981751483436,0,0
