,sumr_list
0,-1565.5854823553357
1,0.0
2,-4198.528242381161
3,-3425.3567611206
4,-2610.343228523581
5,-1660.9475907237113
6,-1641.8618524595954
7,-3990.9268246225856
8,-2620.9369870185596
9,-1449.482406045394
10,-2528.8080693950333
11,-2140.2840688113997
12,-263.11114423597104
13,-997.8867548078523
14,-1571.5527327067816
15,-2477.4817656009936
16,-2812.678674893757
17,-2737.6234907608523
18,-3322.773420233214
19,-3386.250364879143
20,-134.75346388690517
21,-1425.8314669192614
22,-321.819773383167
23,-1566.6744844808643
24,-4571.4719615486465
25,-3076.982596920898
26,-3276.451591338825
27,-1584.9637830050399
28,-512.3322685592325
29,-1590.369742134269
30,-2656.308284466549
31,-1485.0532129219027
32,-3141.809782031075
33,-1041.1702881207575
34,-3001.794714831218
35,-1755.1884051560348
36,-1469.5659161568612
37,-576.1020961836066
38,-2224.613559656765
39,-498.30991855808435
40,-2990.0137069350876
41,-738.9731709808477
42,-1566.8488844998678
43,-504.82928060429026
44,-1459.7925221099456
45,-4238.418661876907
46,-1574.9096583594398
47,-1232.8914086152008
48,-1201.7409329988539
49,-2901.5020531100035
50,-1928.2374577586859
51,-2733.1720489996906
52,-2544.148780229389
53,-2721.550346096011
54,-1588.453904960986
55,-223.60105438664124
56,-3587.0321030174555
57,-2844.9765487218997
58,-2200.8179818916797
59,-1362.8866550437237
60,-1358.5744008272425
61,-2675.7380478065725
62,-2808.3094248019174
63,-2826.643014087429
64,-999.3745895791155
65,-657.2732494350303
66,-1418.4035602369443
67,-605.1114484416863
68,-1861.4915076832817
69,-3165.5314576448027
70,-1446.8856731041758
71,-1494.8620992457604
72,-51.296290121827084
73,-1989.0612937764784
74,-425.57678012667816
75,-4136.425950639226
76,-191.3061476289824
77,-1863.3432034759287
78,-5240.345238636854
79,-1876.660116428197
80,-3103.877857588311
81,-2464.8760774143657
82,-3450.4325531704426
83,-856.125264798942
84,-4490.903102862681
85,-3276.3498058406394
86,-10205.819128567373
87,-3314.3901393158562
88,-4242.7742831695605
89,-2626.380900941388
90,-3397.0488804282177
91,-3944.2594461777003
92,-3125.344593841137
93,-1693.6722721596122
94,-1196.321244095266
95,-5689.270048597755
96,-32.32812808868246
97,-2380.680809513621
98,-307.81583015631236
99,-1937.857848042508
100,-787.8162280192669
101,-2743.134837821326
102,-5.876828938901886
103,-1475.2312323073504
104,-10135.877632179087
105,-8858.463232745933
106,-3920.9979355776436
107,-3928.363364859166
108,-10417.689034129182
109,-11409.954601662064
110,-11149.460673842728
111,-3287.299768652285
112,-2199.6881075850597
113,-1754.8766533579312
114,-2115.688258421707
115,-1891.1161401734337
116,-8755.053179258966
117,-2024.7255303129461
118,-10626.902549215649
119,-8266.84240040476
120,-4115.0053233604485
121,-453.39114116295235
122,-4985.048763560528
123,-10939.384216663508
124,-1285.7653989618732
125,-6043.801591382462
126,-1971.063540765436
127,-11323.830106259858
128,-10759.226385927906
129,-7877.226461158611
130,-1055.275069325718
131,-2903.9567472203225
132,-8669.589920474657
133,-1435.68277092176
134,-11098.853939062687
135,-830.3481782993382
136,-3539.2191459087917
137,-1961.001764418504
138,-4326.78617955207
139,-2995.9766580979367
140,-4121.232895427157
141,-9090.261157192876
142,-838.5779290908657
143,-4672.973269826627
144,-8970.49297988085
145,-8578.84600942944
146,-8068.86209538473
147,-6485.233921397523
148,-8367.599351315495
149,-5390.2193327718
150,-8855.828999338408
151,-8762.335560893654
152,-7894.836313983638
153,-3667.040627109538
154,-2131.6122756585137
155,-2178.058419430734
156,-2845.1453770505796
157,-1639.1060312647944
158,-2023.1443412614785
159,-10473.812796391283
160,-9022.790596130342
161,-4100.693529031378
162,-1746.2329576177049
163,-4517.301194062138
164,-3057.9140656062445
165,-7772.684087115885
166,-4124.419009884181
167,-1580.4827673873297
168,-11199.921871923605
169,-4711.142770592376
170,-3300.6329392656635
171,-7847.3214424855105
172,-3872.591126644295
173,-1543.0550438507164
174,-9408.007770605902
175,-9253.315625607527
176,-1045.6233892246687
177,-5467.768694736389
178,-11300.033614852635
179,-442.2881807278219
180,-4513.130509289384
181,-485.74387615745457
182,-10762.261739382478
183,-3926.5100034596735
184,-1553.6380382595976
185,-4973.8963577929335
186,-1571.739869468467
187,-4166.553325709461
188,-9011.799117901033
189,-2265.711562461451
190,-8079.580391303495
191,-9142.488434692696
192,-1907.6243777204527
193,-2313.6517159634004
194,-1935.2831123570304
195,-2618.182557767147
196,-10568.990496490796
197,-584.0088767638052
198,-1936.00187536618
199,-519.3499063919965
200,-11127.910940026779
201,-2725.2376000158242
202,-3293.7641157624153
203,-4949.1120052747
204,-1387.441193326818
205,-1908.5475538641915
206,-2897.880298666292
207,-2699.376910898165
208,-2209.811322556574
209,-1873.947207843872
210,-11795.703046486788
211,-4239.735159413617
212,-4045.102186852842
213,-1842.4127342628115
214,-3437.229865864801
215,-3566.983550452076
216,-2994.478067590576
217,-7911.200696340478
218,-2663.019368358587
219,-3324.2805964098916
220,-3378.2268463011324
221,-10753.672330875985
